Exp_Type,col_no,wash,Sample_ID,doc_mg_l,npoc_flag,tdn_mg_l,tdn_flag
Control,3,4,TMP_C.3.4,5.259,NA,0.4113,blank is ≥ 15% of sample value
Control,4,4,TMP_C.4.4,14.92,NA,0.4605,blank is ≥ 15% of sample value
Control,5,4,TMP_C.5.4,7.918,NA,0.4402,blank is ≥ 15% of sample value
Control,1,5,TMP_C.1.5,8.792,NA,0.5152,blank is ≥ 15% of sample value
Control,2,5,TMP_C.2.5,10.94,NA,0.4756,blank is ≥ 15% of sample value
Control,3,5,TMP_C.3.5,4.622,NA,0.4115,blank is ≥ 15% of sample value
Control,4,5,TMP_C.4.5,14.9,NA,0.4999,blank is ≥ 15% of sample value
Control,5,5,TMP_C.5.5,7.836,NA,0.4368,blank is ≥ 15% of sample value
Control,1,6,TMP_C.1.6,9.954,NA,0.5477,blank is ≥ 15% of sample value
Control,2,6,TMP_C.2.6,11.4,NA,0.5301,blank is ≥ 15% of sample value
Control,3,6,TMP_C.3.6,3.873,NA,0.3488,blank is ≥ 15% of sample value
Control,4,6,TMP_C.4.6,14.17,NA,0.5158,blank is ≥ 15% of sample value
Control,5,6,TMP_C.5.6,7.82,NA,0.4496,blank is ≥ 15% of sample value
Control,1,7,TMP_C.1.7,8.973,NA,0.5185,blank is ≥ 15% of sample value
Control,2,7,TMP_C.2.7,10.92,NA,0.5431,blank is ≥ 15% of sample value
Control,3,7,TMP_C.3.7,4.117,NA,0.469,blank is ≥ 15% of sample value
Control,4,7,TMP_C.4.7,13.71,NA,0.5937,blank is ≥ 15% of sample value
Control,5,7,TMP_C.5.7,8.398,NA,0.4917,blank is ≥ 15% of sample value
Control,1,8,TMP_C.1.8,8.808,NA,0.5884,blank is ≥ 15% of sample value
Control,2,8,TMP_C.2.8,11.8,NA,0.5529,blank is ≥ 15% of sample value
Control,3,8,TMP_C.3.8,3.633,NA,0.379,blank is ≥ 15% of sample value
Control,4,8,TMP_C.4.8,13.34,NA,0.5329,blank is ≥ 15% of sample value
Control,5,8,TMP_C.5.8,8.037,NA,0.5062,blank is ≥ 15% of sample value
Control,1,9,TMP_C.1.9,8.506,NA,0.5775,blank is ≥ 15% of sample value
Control,2,9,TMP_C.2.9,8.7,NA,0.497,blank is ≥ 15% of sample value
Control,3,9,TMP_C.3.9,4.694,NA,0.47,blank is ≥ 15% of sample value
Control,4,9,TMP_C.4.9,12.13,NA,0.5234,blank is ≥ 15% of sample value
Control,5,9,TMP_C.5.9,7.069,NA,0.463,blank is ≥ 15% of sample value
Control,CondSol,CondSol,TMP_CondSol,9.504,NA,0.571,blank is ≥ 15% of sample value
Control,Cmix,Cmix,TMP_Cmix,14.45,NA,1.258,blank is ≥ 15% of sample value
