Random_ID,Sample_ID,Treatment,Wash,Rep,npoc_raw,tdn_raw,run_datetime,rundate,npoc_blank,npoc_blank_SD,tdn_blank,tdn_blank_SD,standard_high_C,standard_high_N,tdn_flag,npoc_flag,doc_mg_l,tdn_mg_l
TMP_IS_28_B,IS 5.B.6,5,6,2,12.16,0.8055,4/16/2024 8:56:11 AM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,12.16,0.8055
TMP_IS_28_C,IS 5.C.6,5,6,3,11.99,0.7459,4/16/2024 9:20:53 AM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,11.99,0.7459
TMP_IS_29_A,IS PB 25 A,25,0,1,0.2801,0.06409,4/16/2024 9:43:39 AM,20240415,0.19,0.03,0.06,0.01,50,10,blank is ≥ 15% of sample value,blank is ≥ 15% of sample value,0.2801,0.06409
TMP_IS_29_B,IS PB 25 B,25,0,2,0.2721,0.07079,4/16/2024 10:04:44 AM,20240415,0.19,0.03,0.06,0.01,50,10,blank is ≥ 15% of sample value,blank is ≥ 15% of sample value,0.2721,0.07079
TMP_IS_29_C,IS PB 25 C,25,0,3,0.2198,0.06874,4/16/2024 10:21:31 AM,20240415,0.19,0.03,0.06,0.01,50,10,blank is ≥ 15% of sample value,blank is ≥ 15% of sample value,0.2198,0.06874
TMP_IS_30_A,IS 25.A.1,25,1,1,5.871,2.309,4/16/2024 10:39:36 AM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,5.871,2.309
TMP_IS_30_B,IS 25.B.1,25,1,2,5.328,2.33,4/16/2024 11:04:11 AM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,5.328,2.33
TMP_IS_30_C,IS 25.C.1,25,1,3,6.216,2.336,4/16/2024 11:28:18 AM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,6.216,2.336
TMP_IS_31_A,IS 25.A.2,25,2,1,13.84,0.8505,4/16/2024 1:09:42 PM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,13.84,0.8505
TMP_IS_31_B,IS 25.B.2,25,2,2,14.95,0.952,4/16/2024 1:34:41 PM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,14.95,0.952
TMP_IS_31_C,IS 25.C.2,25,2,3,13.97,0.8715,4/16/2024 1:58:56 PM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,13.97,0.8715
TMP_IS_32_A,IS 25.A.3,25,3,1,44.34,2.793,4/16/2024 2:23:01 PM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,44.34,2.793
TMP_IS_32_B,IS 25.B.3,25,3,2,45.33,2.814,4/16/2024 2:47:40 PM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,45.33,2.814
TMP_IS_32_C,IS 25.C.3,25,3,3,47.62,2.98,4/16/2024 3:11:22 PM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,47.62,2.98
TMP_IS_33_A,IS 25.A.4,25,4,1,29.77,2.029,4/16/2024 3:36:49 PM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,29.77,2.029
TMP_IS_33_B,IS 25.B.4,25,4,2,30.35,2.096,4/16/2024 4:00:21 PM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,30.35,2.096
TMP_IS_33_C,IS 25.C.4,25,4,3,31.46,2.155,4/16/2024 4:23:34 PM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,31.46,2.155
TMP_IS_34_A,IS 25.A.5,25,5,1,21.98,1.582,4/16/2024 6:07:36 PM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,21.98,1.582
TMP_IS_34_B,IS 25.B.5,25,5,2,22.79,1.624,4/16/2024 6:30:06 PM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,22.79,1.624
TMP_IS_34_C,IS 25.C.5,25,5,3,22.99,1.589,4/16/2024 6:53:14 PM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,22.99,1.589
TMP_IS_35_A,IS 25.A.6,25,6,1,15.46,1.067,4/16/2024 7:15:31 PM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,15.46,1.067
TMP_IS_35_B,IS 25.B.6,25,6,2,16.57,1.15,4/16/2024 7:37:50 PM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,16.57,1.15
TMP_IS_35_C,IS 25.C.6,25,6,3,15.72,1.081,4/16/2024 8:01:11 PM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,15.72,1.081
TMP_IS_36_A,IS PB 100 A,100,0,1,0.3428,0.05398,4/16/2024 8:19:58 PM,20240415,0.19,0.03,0.06,0.01,50,10,blank is ≥ 15% of sample value,blank is ≥ 15% of sample value,0.3428,0.05398
TMP_IS_36_B,IS PB 100 B,100,0,2,0.4106,0.05123,4/16/2024 8:38:39 PM,20240415,0.19,0.03,0.06,0.01,50,10,blank is ≥ 15% of sample value,blank is ≥ 15% of sample value,0.4106,0.05123
TMP_IS_36_C,IS PB 100 C,100,0,3,0.318,0.04652,4/16/2024 8:57:27 PM,20240415,0.19,0.03,0.06,0.01,50,10,blank is ≥ 15% of sample value,blank is ≥ 15% of sample value,0.318,0.04652
TMP_IS_37_A,IS 100.A.1,100,1,1,9.355,3.373,4/16/2024 10:37:24 PM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,9.355,3.373
TMP_IS_37_B,IS 100.B.1,100,1,2,10.21,3.641,4/16/2024 10:56:26 PM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,10.21,3.641
TMP_IS_37_C,IS 100.C.1,100,1,3,8.359,3.426,4/16/2024 11:14:49 PM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,8.359,3.426
TMP_IS_38_A,IS 100.A.2,100,2,1,7.657,1.229,4/16/2024 11:40:29 PM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,7.657,1.229
TMP_IS_38_B,IS 100.B.2,100,2,2,8.176,1.286,4/17/2024 12:01:49 AM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,8.176,1.286
TMP_IS_38_C,IS 100.C.2,100,2,3,6.877,1.182,4/17/2024 12:19:49 AM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,6.877,1.182
TMP_IS_39_A,IS 100.A.3,100,3,1,56.18,3.685,4/17/2024 12:43:43 AM,20240415,0.19,0.03,0.06,0.01,50,10,NA,value above cal curve,56.18,3.685
TMP_IS_39_B,IS 100.B.3,100,3,2,53.7,3.469,4/17/2024 1:03:43 AM,20240415,0.19,0.03,0.06,0.01,50,10,NA,value above cal curve,53.7,3.469
TMP_IS_39_C,IS 100.C.3,100,3,3,57.34,3.653,4/17/2024 1:27:39 AM,20240415,0.19,0.03,0.06,0.01,50,10,NA,value above cal curve,57.34,3.653
TMP_IS_40_A,IS 100.A.4,100,4,1,47.55,3.473,4/17/2024 3:15:58 AM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,47.55,3.473
TMP_IS_40_B,IS 100.B.4,100,4,2,46.53,3.197,4/17/2024 3:39:01 AM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,46.53,3.197
TMP_IS_40_C,IS 100.C.4,100,4,3,45.03,3.226,4/17/2024 4:02:05 AM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,45.03,3.226
TMP_IS_41_A,IS 100.A.5,100,5,1,27.03,1.934,4/17/2024 4:24:45 AM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,27.03,1.934
TMP_IS_41_B,IS 100.B.5,100,5,2,27.71,1.982,4/17/2024 4:47:21 AM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,27.71,1.982
TMP_IS_41_C,IS 100.C.5,100,5,3,27.56,1.946,4/17/2024 5:09:48 AM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,27.56,1.946
TMP_IS_42_A,IS 100.A.6,100,6,1,18.9,1.28,4/17/2024 5:32:33 AM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,18.9,1.28
TMP_IS_42_B,IS 100.B.6,100,6,2,20.31,1.418,4/17/2024 5:54:41 AM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,20.31,1.418
TMP_IS_42_C,IS 100.C.6,100,6,3,18.88,1.295,4/17/2024 6:16:58 AM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,18.88,1.295
